Випадок,Алгоритм,Знайдено,"Середній час, с",Ітерацій у вимірі
стаття 1 — існуючий,Boyer-Moore (bad char),ні,0.000019540,500
стаття 1 — існуючий,KMP,ні,0.000223937,500
стаття 1 — існуючий,Rabin-Karp,ні,0.000640006,500
стаття 1 — вигаданий,Boyer-Moore (bad char),ні,0.000031524,500
стаття 1 — вигаданий,KMP,ні,0.000165092,500
стаття 1 — вигаданий,Rabin-Karp,ні,0.000653749,500
стаття 2 — існуючий,Boyer-Moore (bad char),так,0.000004499,500
стаття 2 — існуючий,KMP,так,0.000007005,500
стаття 2 — існуючий,Rabin-Karp,так,0.000012797,500
стаття 2 — вигаданий,Boyer-Moore (bad char),ні,0.000188826,500
стаття 2 — вигаданий,KMP,ні,0.000833221,500
стаття 2 — вигаданий,Rabin-Karp,ні,0.003195053,500
